epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.155,1.13533,3.81575,1.09196,0.00521,0.49426,0.12662,0.08908,0.95764,4.31395,0.98359,0.000325203,0.000325203,0.000325203
2,205.968,1.04099,2.69176,1.03846,0.4883,0.1063,0.27976,0.18837,1.06847,3.6982,1.08513,0.000645498,0.000645498,0.000645498
3,312.111,1.08691,2.41461,1.08115,0.51283,0.3226,0.38679,0.25061,1.15421,3.55775,1.18862,0.000952592,0.000952592,0.000952592
4,414.973,1.10468,2.25778,1.10813,0.3321,0.47019,0.35298,0.22044,1.17032,3.43491,1.26412,0.0009406,0.0009406,0.0009406
5,516.15,1.01453,2.06349,1.05189,0.39977,0.5779,0.4257,0.3002,1.11858,2.62622,1.2561,0.0009208,0.0009208,0.0009208
6,618.947,0.96543,1.84143,1.02705,0.54874,0.51974,0.55202,0.39655,1.13611,2.52371,1.26381,0.000901,0.000901,0.000901
7,719.425,0.93605,1.6902,1.01427,0.51266,0.50481,0.52819,0.37748,1.06493,2.16735,1.19569,0.0008812,0.0008812,0.0008812
8,820.699,0.91665,1.61914,1.01427,0.36156,0.64037,0.47389,0.33534,1.08688,2.31153,1.25273,0.0008614,0.0008614,0.0008614
9,923.76,0.89447,1.51435,1.00988,0.59233,0.58923,0.6487,0.46327,1.04218,1.88016,1.218,0.0008416,0.0008416,0.0008416
10,1028.79,0.91252,1.50994,1.03018,0.5359,0.61102,0.57508,0.40401,1.13478,1.96154,1.28828,0.0008218,0.0008218,0.0008218
11,1129.89,0.88725,1.33418,0.99987,0.60109,0.65064,0.62825,0.46735,1.01821,1.84237,1.20526,0.000802,0.000802,0.000802
12,1230.79,0.84455,1.21874,0.99565,0.57787,0.64222,0.65225,0.4513,1.07307,1.75758,1.26404,0.0007822,0.0007822,0.0007822
13,1331.42,0.84351,1.18261,1.004,0.61123,0.6459,0.61438,0.44157,1.06496,1.9631,1.23783,0.0007624,0.0007624,0.0007624
14,1432.17,0.83601,1.14197,0.98424,0.56596,0.65143,0.61399,0.44527,1.01961,1.55392,1.15573,0.0007426,0.0007426,0.0007426
15,1532.84,0.78791,1.05349,0.95909,0.5998,0.61248,0.59866,0.44053,1.05375,1.8825,1.22014,0.0007228,0.0007228,0.0007228
16,1633.07,0.80335,1.04222,0.96322,0.59547,0.79151,0.73611,0.538,1.00664,1.61242,1.15689,0.000703,0.000703,0.000703
17,1733.92,0.77117,0.99529,0.9422,0.74958,0.75158,0.74886,0.55773,0.98598,1.36695,1.16175,0.0006832,0.0006832,0.0006832
18,1834.45,0.76477,0.94286,0.94468,0.5493,0.57611,0.59939,0.4467,0.9931,1.84846,1.16012,0.0006634,0.0006634,0.0006634
19,1935.06,0.74609,0.93661,0.94276,0.67527,0.59747,0.66824,0.51201,0.97956,1.44736,1.18219,0.0006436,0.0006436,0.0006436
20,2035.5,0.73292,0.88654,0.9468,0.58231,0.71779,0.6706,0.5022,0.96979,1.48848,1.167,0.0006238,0.0006238,0.0006238
21,2136.42,0.72405,0.83713,0.93572,0.76786,0.66331,0.75288,0.58655,0.96619,1.47181,1.15431,0.000604,0.000604,0.000604
22,2237.62,0.73548,0.81944,0.93798,0.61167,0.7638,0.70045,0.54546,0.97083,1.35454,1.16816,0.0005842,0.0005842,0.0005842
23,2339.57,0.70598,0.77704,0.92519,0.64373,0.76645,0.75395,0.57977,0.94656,1.22949,1.14454,0.0005644,0.0005644,0.0005644
24,2441.27,0.714,0.7868,0.92277,0.67221,0.76551,0.77202,0.58117,0.96047,1.19127,1.11347,0.0005446,0.0005446,0.0005446
25,2543.4,0.71216,0.75091,0.9254,0.66628,0.73293,0.72775,0.56548,0.93877,1.24251,1.1351,0.0005248,0.0005248,0.0005248
26,2645.09,0.69628,0.69694,0.92386,0.63152,0.69524,0.66316,0.51033,0.91942,1.42542,1.09125,0.000505,0.000505,0.000505
27,2747.74,0.67728,0.70724,0.91409,0.66774,0.65055,0.68832,0.53038,0.93498,1.31339,1.11232,0.0004852,0.0004852,0.0004852
28,2849.85,0.69748,0.68661,0.9332,0.60269,0.71448,0.67669,0.52905,0.87661,1.22226,1.08703,0.0004654,0.0004654,0.0004654
29,2952.61,0.65939,0.68488,0.91334,0.6152,0.737,0.69834,0.53099,0.90144,1.31363,1.0783,0.0004456,0.0004456,0.0004456
30,3054.01,0.63423,0.64712,0.90493,0.68769,0.71022,0.7374,0.55828,0.91677,1.21669,1.13327,0.0004258,0.0004258,0.0004258
31,3156.39,0.62237,0.65982,0.91049,0.56743,0.6135,0.6018,0.46595,0.94063,1.5527,1.10685,0.000406,0.000406,0.000406
32,3258.48,0.6295,0.63477,0.90861,0.68455,0.70177,0.70144,0.53264,0.9711,1.21992,1.17402,0.0003862,0.0003862,0.0003862
33,3360.44,0.62651,0.6076,0.9081,0.68065,0.65902,0.66525,0.5087,0.97295,1.28102,1.15737,0.0003664,0.0003664,0.0003664
34,3461.83,0.60146,0.59441,0.89817,0.6248,0.67996,0.69816,0.55151,0.94174,1.22559,1.11464,0.0003466,0.0003466,0.0003466
35,3564.11,0.60888,0.59252,0.89167,0.65466,0.69331,0.70515,0.54989,0.91529,1.13102,1.13381,0.0003268,0.0003268,0.0003268
36,3674.35,0.59195,0.57359,0.88465,0.6337,0.68987,0.67311,0.51644,0.92009,1.21067,1.13435,0.000307,0.000307,0.000307
37,3781.36,0.59686,0.58331,0.88797,0.62176,0.74353,0.69444,0.53899,0.90211,1.17529,1.10371,0.0002872,0.0002872,0.0002872
38,3885.24,0.56916,0.56238,0.89603,0.68255,0.70724,0.71918,0.55521,0.90471,1.17249,1.0945,0.0002674,0.0002674,0.0002674
39,3992.94,0.56352,0.55072,0.8823,0.6766,0.78604,0.73001,0.56966,0.89863,1.14158,1.09027,0.0002476,0.0002476,0.0002476
40,4098.06,0.56998,0.5556,0.88397,0.71317,0.71231,0.7304,0.57117,0.88305,1.11806,1.095,0.0002278,0.0002278,0.0002278
41,4201,0.50917,0.49273,0.84466,0.71388,0.74661,0.75616,0.59777,0.87267,1.00007,1.07647,0.000208,0.000208,0.000208
42,4303.79,0.52266,0.48228,0.85311,0.68873,0.72474,0.74158,0.58862,0.89417,1.06346,1.08196,0.0001882,0.0001882,0.0001882
43,4415.45,0.49868,0.45671,0.83706,0.61812,0.80074,0.74555,0.59119,0.88945,1.04029,1.10096,0.0001684,0.0001684,0.0001684
44,4567.15,0.49653,0.45252,0.84037,0.64207,0.80193,0.7496,0.59542,0.89928,1.05865,1.08601,0.0001486,0.0001486,0.0001486
45,4718.57,0.48144,0.43661,0.83955,0.65025,0.7777,0.75404,0.60196,0.89165,1.10327,1.1056,0.0001288,0.0001288,0.0001288
46,4854.9,0.48796,0.44155,0.83936,0.72856,0.73539,0.75827,0.59334,0.8998,1.04047,1.10578,0.000109,0.000109,0.000109
47,4956.72,0.45717,0.42272,0.82636,0.72873,0.73886,0.76064,0.59194,0.88901,1.03289,1.09545,8.92e-05,8.92e-05,8.92e-05
48,5057.69,0.45555,0.41839,0.83147,0.68249,0.77713,0.75139,0.5892,0.88192,1.03001,1.08855,6.94e-05,6.94e-05,6.94e-05
49,5160.57,0.45139,0.42101,0.83909,0.71076,0.72222,0.76593,0.60727,0.88147,1.05541,1.09272,4.96e-05,4.96e-05,4.96e-05
50,5262.53,0.45162,0.41699,0.82726,0.73148,0.71127,0.76442,0.60249,0.884,1.06148,1.09324,2.98e-05,2.98e-05,2.98e-05
